,dim,walk_len,n_walks,p,q,window,hopkins
168,30,25,15,0.75,1.0,5,0.5312241826648164
169,30,25,15,0.75,1.0,10,0.46102772663841485
170,30,25,15,0.75,1.0,15,0.44838895034882476
171,30,35,5,0.75,1.0,5,0.5028421583957671
172,30,35,5,0.75,1.0,10,0.5588806337208103
173,30,35,5,0.75,1.0,15,0.5614638344459768
174,30,35,10,0.75,1.0,5,0.5545828435799582
175,30,35,10,0.75,1.0,10,0.49950599789473593
176,30,35,10,0.75,1.0,15,0.5201485001956536
177,30,35,15,0.75,1.0,5,0.525738095699598
178,30,35,15,0.75,1.0,10,0.514412377816728
179,30,35,15,0.75,1.0,15,0.5958235462748181
180,30,45,5,0.75,1.0,5,0.4651032571217923
181,30,45,5,0.75,1.0,10,0.46121753297662244
182,30,45,5,0.75,1.0,15,0.5410076621534893
183,30,45,10,0.75,1.0,5,0.5733563437982233
184,30,45,10,0.75,1.0,10,0.5123721805686722
185,30,45,10,0.75,1.0,15,0.5556771396949195
186,30,45,15,0.75,1.0,5,0.509400536919247
187,30,45,15,0.75,1.0,10,0.4670483164717323
188,30,45,15,0.75,1.0,15,0.6084796453251313
189,30,55,5,0.75,1.0,5,0.5356096685590702
190,30,55,5,0.75,1.0,10,0.5086663441074447
191,30,55,5,0.75,1.0,15,0.6159511779365504
192,30,55,10,0.75,1.0,5,0.5459495939142174
193,30,55,10,0.75,1.0,10,0.5899002643980663
194,30,55,10,0.75,1.0,15,0.649833256340969
195,30,55,15,0.75,1.0,5,0.6404374563292101
196,30,55,15,0.75,1.0,10,0.537321358277316
197,30,55,15,0.75,1.0,15,0.5706809979075644
198,30,65,5,0.75,1.0,5,0.46136907163843766
199,30,65,5,0.75,1.0,10,0.510676243631907
200,30,65,5,0.75,1.0,15,0.6216654590999247
201,30,65,10,0.75,1.0,5,0.49150744049454825
202,30,65,10,0.75,1.0,10,0.33345954216359885
203,30,65,10,0.75,1.0,15,0.610669004718472
204,30,65,15,0.75,1.0,5,0.5344424887380277
205,30,65,15,0.75,1.0,10,0.566742784591515
206,30,65,15,0.75,1.0,15,0.5485707289584589
207,30,75,5,0.75,1.0,5,0.5841832131360548
208,30,75,5,0.75,1.0,10,0.5140875750417485
209,30,75,5,0.75,1.0,15,0.3925248605000251
210,30,75,10,0.75,1.0,5,0.4906366905181897
211,30,75,10,0.75,1.0,10,0.5267256096908719
212,30,75,10,0.75,1.0,15,0.5001697700777078
213,30,75,15,0.75,1.0,5,0.4993341983001656
214,30,75,15,0.75,1.0,10,0.570189063990171
215,30,75,15,0.75,1.0,15,0.5941578920109007
216,40,5,5,0.75,1.0,5,0.7151163645892298
217,40,5,5,0.75,1.0,10,0.6637473871596603
218,40,5,5,0.75,1.0,15,0.6647735569659671
219,40,5,10,0.75,1.0,5,0.6276976788397985
220,40,5,10,0.75,1.0,10,0.6885793233345185
221,40,5,10,0.75,1.0,15,0.7022065250953164
222,40,5,15,0.75,1.0,5,0.652685058645223
223,40,5,15,0.75,1.0,10,0.6444283511162243
224,40,5,15,0.75,1.0,15,0.685475448945205
225,40,15,5,0.75,1.0,5,0.665115903501186
226,40,15,5,0.75,1.0,10,0.6346220751284899
227,40,15,5,0.75,1.0,15,0.7044085578020345
228,40,15,10,0.75,1.0,5,0.6279341701210873
229,40,15,10,0.75,1.0,10,0.5971633420288371
230,40,15,10,0.75,1.0,15,0.632748930014303
231,40,15,15,0.75,1.0,5,0.5528336790919477
232,40,15,15,0.75,1.0,10,0.5485601315521554
233,40,15,15,0.75,1.0,15,0.47746778660293737
234,40,25,5,0.75,1.0,5,0.5513492690903061
235,40,25,5,0.75,1.0,10,0.49265242664801656
236,40,25,5,0.75,1.0,15,0.49393140177821876
237,40,25,10,0.75,1.0,5,0.5552392920903154
238,40,25,10,0.75,1.0,10,0.6697696472447529
239,40,25,10,0.75,1.0,15,0.48464639142072297
240,40,25,15,0.75,1.0,5,0.5360166645231106
241,40,25,15,0.75,1.0,10,0.5275339112244961
242,40,25,15,0.75,1.0,15,0.4857660435520635
243,40,35,5,0.75,1.0,5,0.5704790011155765
244,40,35,5,0.75,1.0,10,0.4357374139103311
245,40,35,5,0.75,1.0,15,0.4781722940621366
