,dim,walk_len,n_walks,p,q,window,ARI
157,30,15,10,0.75,1.0,10,-0.014150943396226415
158,30,15,10,0.75,1.0,15,-0.08870967741935484
159,30,15,15,0.75,1.0,5,0.008064516129032258
160,30,15,15,0.75,1.0,10,0.008064516129032258
161,30,15,15,0.75,1.0,15,0.008064516129032258
162,30,25,5,0.75,1.0,5,0.008064516129032258
163,30,25,5,0.75,1.0,10,0.008064516129032258
164,30,25,5,0.75,1.0,15,0.008064516129032258
165,30,25,10,0.75,1.0,5,0.008064516129032258
166,30,25,10,0.75,1.0,10,-0.024844720496894408
167,30,25,10,0.75,1.0,15,0.06862745098039216
168,30,25,15,0.75,1.0,5,0.008064516129032258
169,30,25,15,0.75,1.0,10,-0.024844720496894408
170,30,25,15,0.75,1.0,15,-0.024844720496894408
171,30,35,5,0.75,1.0,5,0.06862745098039216
172,30,35,5,0.75,1.0,10,0.008064516129032258
173,30,35,5,0.75,1.0,15,0.008064516129032258
174,30,35,10,0.75,1.0,5,-0.024844720496894408
175,30,35,10,0.75,1.0,10,-0.024844720496894408
176,30,35,10,0.75,1.0,15,-0.024844720496894408
177,30,35,15,0.75,1.0,5,-0.024844720496894408
178,30,35,15,0.75,1.0,10,-0.024844720496894408
179,30,35,15,0.75,1.0,15,-0.024844720496894408
180,30,45,5,0.75,1.0,5,-0.024844720496894408
181,30,45,5,0.75,1.0,10,-0.024844720496894408
182,30,45,5,0.75,1.0,15,-0.024844720496894408
183,30,45,10,0.75,1.0,5,-0.024844720496894408
184,30,45,10,0.75,1.0,10,-0.029411764705882353
185,30,45,10,0.75,1.0,15,-0.024844720496894408
186,30,45,15,0.75,1.0,5,-0.024844720496894408
187,30,45,15,0.75,1.0,10,-0.024844720496894408
188,30,45,15,0.75,1.0,15,-0.024844720496894408
189,30,55,5,0.75,1.0,5,0.06862745098039216
190,30,55,5,0.75,1.0,10,-0.024844720496894408
191,30,55,5,0.75,1.0,15,0.056451612903225805
192,30,55,10,0.75,1.0,5,-0.024844720496894408
193,30,55,10,0.75,1.0,10,0.056451612903225805
194,30,55,10,0.75,1.0,15,0.008064516129032258
195,30,55,15,0.75,1.0,5,-0.024844720496894408
196,30,55,15,0.75,1.0,10,-0.04032258064516129
197,30,55,15,0.75,1.0,15,-0.024844720496894408
198,30,65,5,0.75,1.0,5,-0.04032258064516129
199,30,65,5,0.75,1.0,10,0.008064516129032258
200,30,65,5,0.75,1.0,15,-0.024844720496894408
201,30,65,10,0.75,1.0,5,-0.024844720496894408
202,30,65,10,0.75,1.0,10,-0.024844720496894408
203,30,65,10,0.75,1.0,15,-0.024844720496894408
204,30,65,15,0.75,1.0,5,-0.024844720496894408
205,30,65,15,0.75,1.0,10,-0.024844720496894408
206,30,65,15,0.75,1.0,15,-0.024844720496894408
207,30,75,5,0.75,1.0,5,-0.029411764705882353
208,30,75,5,0.75,1.0,10,-0.024844720496894408
209,30,75,5,0.75,1.0,15,-0.029411764705882353
210,30,75,10,0.75,1.0,5,-0.04032258064516129
211,30,75,10,0.75,1.0,10,-0.024844720496894408
212,30,75,10,0.75,1.0,15,-0.024844720496894408
213,30,75,15,0.75,1.0,5,-0.024844720496894408
214,30,75,15,0.75,1.0,10,-0.024844720496894408
215,30,75,15,0.75,1.0,15,-0.024844720496894408
216,40,5,5,0.75,1.0,5,-0.08870967741935484
217,40,5,5,0.75,1.0,10,0.1532258064516129
218,40,5,5,0.75,1.0,15,-0.06132075471698113
219,40,5,10,0.75,1.0,5,0.008064516129032258
220,40,5,10,0.75,1.0,10,0.0196078431372549
221,40,5,10,0.75,1.0,15,0.22169811320754718
222,40,5,15,0.75,1.0,5,0.0330188679245283
223,40,5,15,0.75,1.0,10,0.056451612903225805
224,40,5,15,0.75,1.0,15,0.10483870967741936
225,40,15,5,0.75,1.0,5,-0.04032258064516129
226,40,15,5,0.75,1.0,10,0.11764705882352941
227,40,15,5,0.75,1.0,15,0.10483870967741936
228,40,15,10,0.75,1.0,5,0.008064516129032258
229,40,15,10,0.75,1.0,10,-0.029411764705882353
230,40,15,10,0.75,1.0,15,0.10483870967741936
231,40,15,15,0.75,1.0,5,-0.024844720496894408
232,40,15,15,0.75,1.0,10,-0.04032258064516129
233,40,15,15,0.75,1.0,15,0.056451612903225805
234,40,25,5,0.75,1.0,5,-0.024844720496894408
235,40,25,5,0.75,1.0,10,-0.024844720496894408
236,40,25,5,0.75,1.0,15,0.008064516129032258
237,40,25,10,0.75,1.0,5,0.06862745098039216
238,40,25,10,0.75,1.0,10,0.008064516129032258
239,40,25,10,0.75,1.0,15,0.06862745098039216
240,40,25,15,0.75,1.0,5,-0.024844720496894408
241,40,25,15,0.75,1.0,10,-0.024844720496894408
242,40,25,15,0.75,1.0,15,-0.024844720496894408
243,40,35,5,0.75,1.0,5,0.06862745098039216
244,40,35,5,0.75,1.0,10,0.008064516129032258
245,40,35,5,0.75,1.0,15,0.008064516129032258
246,40,35,10,0.75,1.0,5,-0.024844720496894408
247,40,35,10,0.75,1.0,10,-0.024844720496894408
248,40,35,10,0.75,1.0,15,-0.024844720496894408
249,40,35,15,0.75,1.0,5,-0.024844720496894408
250,40,35,15,0.75,1.0,10,-0.024844720496894408
251,40,35,15,0.75,1.0,15,-0.024844720496894408
252,40,45,5,0.75,1.0,5,-0.024844720496894408
253,40,45,5,0.75,1.0,10,-0.024844720496894408
254,40,45,5,0.75,1.0,15,-0.024844720496894408
255,40,45,10,0.75,1.0,5,-0.024844720496894408
256,40,45,10,0.75,1.0,10,0.06862745098039216
257,40,45,10,0.75,1.0,15,-0.024844720496894408
258,40,45,15,0.75,1.0,5,-0.024844720496894408
259,40,45,15,0.75,1.0,10,-0.024844720496894408
260,40,45,15,0.75,1.0,15,-0.024844720496894408
261,40,55,5,0.75,1.0,5,-0.024844720496894408
262,40,55,5,0.75,1.0,10,-0.024844720496894408
263,40,55,5,0.75,1.0,15,0.008064516129032258
264,40,55,10,0.75,1.0,5,0.06862745098039216
265,40,55,10,0.75,1.0,10,-0.024844720496894408
266,40,55,10,0.75,1.0,15,-0.029411764705882353
