,dim,walk_len,n_walks,p,q,window,modularity
70,10,75,15,0.75,1.0,10,0.5683698650021773
71,10,75,15,0.75,1.0,15,0.6481347075047177
72,20,5,5,0.75,1.0,5,-0.11024822180287412
73,20,5,5,0.75,1.0,10,0.010959500653215291
74,20,5,5,0.75,1.0,15,-0.11874002032225284
75,20,5,10,0.75,1.0,5,-0.1308607925678618
76,20,5,10,0.75,1.0,10,-0.13536071998838725
77,20,5,10,0.75,1.0,15,-0.11874002032225284
78,20,5,15,0.75,1.0,5,-0.1179416461024822
79,20,5,15,0.75,1.0,10,-0.06299898388735664
80,20,5,15,0.75,1.0,15,-0.08513572361736099
81,20,15,5,0.75,1.0,5,-0.06713601393525909
82,20,15,5,0.75,1.0,10,0.041225141529975334
83,20,15,5,0.75,1.0,15,0.12984467992451737
84,20,15,10,0.75,1.0,5,0.49325010886921183
85,20,15,10,0.75,1.0,10,0.5651763681230948
86,20,15,10,0.75,1.0,15,0.6260705472492379
87,20,15,15,0.75,1.0,5,0.580200319349688
88,20,15,15,0.75,1.0,10,0.6481347075047177
89,20,15,15,0.75,1.0,15,0.6371752068515023
90,20,25,5,0.75,1.0,5,0.4288721149658877
91,20,25,5,0.75,1.0,10,0.4753229786616345
92,20,25,5,0.75,1.0,15,0.6260705472492379
93,20,25,10,0.75,1.0,5,0.6260705472492379
94,20,25,10,0.75,1.0,10,0.6481347075047177
95,20,25,10,0.75,1.0,15,0.6260705472492379
96,20,25,15,0.75,1.0,5,0.6481347075047177
97,20,25,15,0.75,1.0,10,0.6481347075047177
98,20,25,15,0.75,1.0,15,0.6481347075047177
99,20,35,5,0.75,1.0,5,0.6371752068515023
100,20,35,5,0.75,1.0,10,0.6481347075047177
101,20,35,5,0.75,1.0,15,0.6260705472492379
102,20,35,10,0.75,1.0,5,0.6481347075047177
103,20,35,10,0.75,1.0,10,0.6389171142400929
104,20,35,10,0.75,1.0,15,0.6481347075047177
105,20,35,15,0.75,1.0,5,0.6481347075047177
106,20,35,15,0.75,1.0,10,0.6481347075047177
107,20,35,15,0.75,1.0,15,0.6481347075047177
108,20,45,5,0.75,1.0,5,0.6481347075047177
109,20,45,5,0.75,1.0,10,0.6481347075047177
110,20,45,5,0.75,1.0,15,0.6481347075047177
111,20,45,10,0.75,1.0,5,0.6481347075047177
112,20,45,10,0.75,1.0,10,0.5683698650021773
113,20,45,10,0.75,1.0,15,0.5683698650021773
114,20,45,15,0.75,1.0,5,0.6481347075047177
115,20,45,15,0.75,1.0,10,0.6481347075047177
116,20,45,15,0.75,1.0,15,0.6481347075047177
117,20,55,5,0.75,1.0,5,0.6481347075047177
118,20,55,5,0.75,1.0,10,0.6481347075047177
119,20,55,5,0.75,1.0,15,0.6481347075047177
120,20,55,10,0.75,1.0,5,0.6371752068515023
121,20,55,10,0.75,1.0,10,0.6371752068515023
122,20,55,10,0.75,1.0,15,0.5804906372477863
123,20,55,15,0.75,1.0,5,0.6481347075047177
124,20,55,15,0.75,1.0,10,0.6481347075047177
125,20,55,15,0.75,1.0,15,0.6481347075047177
126,20,65,5,0.75,1.0,5,0.5802003193496879
127,20,65,5,0.75,1.0,10,0.6481347075047177
128,20,65,5,0.75,1.0,15,0.6481347075047177
129,20,65,10,0.75,1.0,5,0.6389171142400929
130,20,65,10,0.75,1.0,10,0.6481347075047177
131,20,65,10,0.75,1.0,15,0.6481347075047177
132,20,65,15,0.75,1.0,5,0.6481347075047177
133,20,65,15,0.75,1.0,10,0.6481347075047177
134,20,65,15,0.75,1.0,15,0.6481347075047177
135,20,75,5,0.75,1.0,5,0.6481347075047177
136,20,75,5,0.75,1.0,10,0.6481347075047177
137,20,75,5,0.75,1.0,15,0.5918856147481493
138,20,75,10,0.75,1.0,5,0.6481347075047177
139,20,75,10,0.75,1.0,10,0.5683698650021773
140,20,75,10,0.75,1.0,15,0.6481347075047177
141,20,75,15,0.75,1.0,5,0.6481347075047177
142,20,75,15,0.75,1.0,10,0.6481347075047177
143,20,75,15,0.75,1.0,15,0.6481347075047177
144,30,5,5,0.75,1.0,5,0.10741762229641459
145,30,5,5,0.75,1.0,10,0.008854695892001767
146,30,5,5,0.75,1.0,15,-0.010088546958920003
147,30,5,10,0.75,1.0,5,-0.04920888372768179
148,30,5,10,0.75,1.0,10,-0.06829728552765277
149,30,5,10,0.75,1.0,15,-0.1051676585861518
150,30,5,15,0.75,1.0,5,-0.17854550733052688
151,30,5,15,0.75,1.0,10,-0.19647263753810418
152,30,5,15,0.75,1.0,15,-0.19647263753810418
153,30,15,5,0.75,1.0,5,0.006459573232689822
154,30,15,5,0.75,1.0,10,-0.04710407896646827
155,30,15,5,0.75,1.0,15,-0.11402235447815354
156,30,15,10,0.75,1.0,5,0.2897372623022209
157,30,15,10,0.75,1.0,10,0.38002612861082885
