hhcluster_id,h_size,n_triangles
310100000179522779,35,14
310100000934838597,35,14
310100001852630787,35,14
310100001969582819,35,14
310100000058012865,35,13
310100000135437531,35,13
310100000782657301,35,13
310100001011945092,35,13
310100001529180485,35,13
310100001574363744,35,13
310100001921678887,35,13
310100000222389644,35,12
310100000762754092,35,12
310100000018023019,35,11
310100000391927054,35,11
310100000906372495,35,11
310100001380024029,35,11
310100001756205851,35,11
310100000170699321,35,10
310100000597897551,35,10
310100000674698383,35,10
310100000799700436,35,10
310100000812083232,35,10
310100000815286632,35,10
310100001162105178,35,10
310100000535640758,35,9
310100001151932345,35,9
310100001218676107,35,9
310100001381110089,35,9
310100000008760579,35,8
310100000052472865,35,8
310100000145109705,35,8
310100000348012015,35,8
310100000366716162,35,8
310100000506993913,35,8
310100001033513872,35,8
310100001749067967,35,8
310100000192504437,35,7
310100000204354834,35,7
310100000221568984,35,7
310100000714052429,35,7
310100000784448764,35,7
310100002118947786,35,7
310100000037332545,35,6
310100000076766997,35,6
310100000222475816,35,6
310100000702632196,35,6
310100000757564127,35,6
310100000880327417,35,6
310100000960524313,35,6
310100001749054073,35,6
310100000250111302,35,5
310100000340469226,35,5
310100000367251000,35,5
310100000792227821,35,5
310100000920771093,35,5
310100000083822860,35,4
310100000597326411,35,4
310100000625142027,35,4
310100001465906013,35,4
310100001529617519,35,4
310100000029970316,35,3
310100000219575877,35,3
310100000221194483,35,3
310100000324413932,35,3
310100000688782239,35,3
310100000980572121,35,3
310100001186862073,35,3
310100001781947457,35,3
310100000219510461,35,2
310100000285194671,35,2
310100001469740898,35,2
310100001868422259,35,2
310100000796585745,35,1
310100000841852744,34,27
310100000220166958,34,24
310100000831223292,34,24
310100000211422578,34,22
310100000218823821,34,22
310100001089321423,34,22
310100001285216708,34,22
310100001785132644,34,21
310100000642757126,34,20
310100000712571732,34,20
310100000217471267,34,19
310100000260521672,34,19
310100000153400830,34,18
310100000187837691,34,18
310100001253152154,34,18
310100000000691118,34,17
310100000819937046,34,17
310100001843028191,34,17
310100000103686384,34,16
310100001371629695,34,16
310100001845005408,34,16
310100000004057593,34,15
310100000004421735,34,15
310100000216360160,34,15
310100001116796718,34,15
310100000210898560,34,14
310100000965740561,34,14
310100001012696293,34,14
310100001260055208,34,14
310100001292253372,34,14
310100001860551582,34,14
310100000001758484,34,13
310100000016162361,34,13
310100000205620318,34,13
310100000340567427,34,13
310100000681042590,34,13
310100000768566709,34,13
310100000916240598,34,13
310100000145283477,34,12
310100000211204843,34,12
310100000722808833,34,12
310100001032608453,34,12
310100001627787015,34,12
310100000634998331,34,11
310100000702637406,34,11
310100001249841545,34,11
310100001672609917,34,11
310100001892045388,34,11
310100000626207414,34,10
310100000661516798,34,10
310100000732759476,34,10
310100001338480301,34,10
310100000206588933,34,9
310100000490421928,34,9
310100001078994316,34,9
310100001127039958,34,9
310100001182562562,34,9
310100001200836788,34,9
310100002174569819,34,9
310100000001828502,34,8
310100000053927925,34,8
310100000335878774,34,8
310100000339992073,34,8
310100000815451887,34,8
310100001245100187,34,8
310100001650765932,34,8
310100000020316974,34,7
310100000048756590,34,7
310100000052661409,34,7
310100000086910801,34,7
310100001440396090,34,7
310100001647343424,34,7
310100001889096292,34,7
310100001920916953,34,7
310100002221437722,34,7
310100000193826891,34,6
310100000206328523,34,6
310100000214407274,34,6
310100000299150182,34,6
310100000490279457,34,6
310100001248122133,34,6
310100001651982032,34,6
310100001840842267,34,6
310100001867441562,34,6
310100002052578656,34,6
310100000002844620,34,5
310100000048365423,34,5
310100000213177359,34,5
310100000257315839,34,5
310100000643957388,34,5
310100000848939842,34,5
310100000903523088,34,5
310100001245048336,34,5
310100001866611316,34,5
310100000210508899,34,4
310100000216303552,34,4
310100000681232042,34,4
310100001007769874,34,4
310100001146451970,34,4
310100001369859970,34,4
310100001663108642,34,4
310100001738818174,34,4
310100001744189988,34,4
310100000051315472,34,3
310100000248019025,34,3
310100000830657615,34,3
310100001182920319,34,3
310100001359963214,34,3
310100000062038069,34,2
310100000787142834,34,2
310100000966087636,34,2
310100000984428567,34,2
310100001251762029,34,2
310100001326989973,34,2
310100001362818889,34,1
310100000824017509,33,28
310100001282339494,33,27
310100002031603997,33,27
310100001108389484,33,26
310100000814943003,33,25
310100001871548220,33,24
310100000365379020,33,23
310100000035168832,33,21
310100001828211335,33,19
310100001039994181,33,18
310100001306639151,33,18
310100001609161919,33,18
310100002111896334,33,18
310100000216214765,33,17
310100000221405232,33,17
310100000366347753,33,17
310100000866379062,33,17
310100001306768114,33,17
310100000003803389,33,16
310100000134517548,33,16
310100000490909753,33,16
310100000955910913,33,16
310100001496745755,33,16
310100000347685962,33,15
310100000490955158,33,15
310100000770458107,33,15
310100000774491048,33,15
310100001044535029,33,15
310100000051193030,33,14
310100000688593295,33,14
310100000813001653,33,14
310100001155400530,33,14
310100002016767162,33,14
310100000001850417,33,13
310100000012407670,33,13
310100000017258891,33,13
310100000222943694,33,13
310100000338332726,33,13
310100000535687973,33,13
310100000917119905,33,13
310100001182585877,33,13
310100000014642022,33,12
310100000219404636,33,12
310100000220124575,33,12
310100000656820090,33,12
310100000771995199,33,12
310100001516126829,33,12
310100001593518502,33,12
310100001771513941,33,12
310100002121931904,33,12
310100000218619073,33,11
310100000596035923,33,11
310100000785129308,33,11
310100000907153956,33,11
310100000969379860,33,11
310100001704844560,33,11
310100000212475646,33,10
310100000220657450,33,10
310100001438559878,33,10
310100000930838175,33,9
310100001529965977,33,9
310100001597033429,33,9
310100002118432763,33,9
310100002122991171,33,9
310100000022422122,33,8
310100000085566103,33,8
310100000179221864,33,8
310100000318986561,33,8
310100000343622745,33,8
310100000638013232,33,8
310100000646214546,33,8
310100000836912366,33,8
310100000999944604,33,8
310100001058092404,33,8
310100001255205742,33,8
310100001662710809,33,8
310100001671077694,33,8
310100002230111949,33,8
310100000065050094,33,7
310100000095482162,33,7
310100000220828186,33,7
310100000671999563,33,7
310100000692444727,33,7
310100001906416993,33,7
310100000025152568,33,6
310100000216589888,33,6
310100000522689946,33,6
310100000713548090,33,6
310100000737807546,33,6
310100000792905677,33,6
310100000802610633,33,6
310100000832365183,33,6
310100000882813840,33,6
310100000907217459,33,6
310100000923064337,33,6
310100000984706386,33,6
